STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS,anomaly,NET_WORTH,soundex,uniqueness_score
Karnataka,CHIKKODI,MACHENDRA DAVALU KADAPURE,0.0,BSP,Elephant,MALE,0,49.0,SC,8th Pass,1863981.0,0.0,15508.0,67.0,15575.0,0.96585793,1.277180576,1612556.0,1.0,1863981.0,M253,0.2
Karnataka,CHITRADURGA,A NARAYANASWAMY,1.0,BJP,Lotus,MALE,0,62.0,SC,Graduate,961976429.0,0.0,624200.0,1995.0,626195.0,35.56646956,50.23601972,1760633.0,1.0,961976429.0,A565,0.3333333333333333
Karnataka,CHITRADURGA,B N CHANDRAPPA,0.0,INC,Hand,MALE,0,64.0,SC,Post Graduate,482227304.0,0.0,545159.0,858.0,546017.0,31.01253924,43.80380038,1760633.0,1.0,482227304.0,B525,1.0
Andhra Pradesh,CHITTOOR,N. REDDEPPA,1.0,YSRCP,Ceiling Fan,MALE,0,68.0,SC,Post Graduate,173558621.0,134154213.0,681325.0,5467.0,686792.0,43.84247931,52.04408795,1566499.0,1.0,39404408.0,N631,1.0
Andhra Pradesh,CHITTOOR,NARAMALLI SIVA PRASAD,0.0,TDP,Bicycle,MALE,0,67.0,SC,Graduate Professional,696288166.0,0.0,545374.0,4147.0,549521.0,35.07956277,41.6418934,1566499.0,1.0,696288166.0,N654,0.25
Andhra Pradesh,CHITTOOR,CHEEMALA. RANGAPPA,0.0,INC,Hand,MALE,0,60.0,SC,Graduate Professional,128320001.0,0.0,24497.0,146.0,24643.0,1.573125805,1.867410307,1566499.0,1.0,128320001.0,C546,1.0
Andhra Pradesh,CHITTOOR,NOTA,0.0,NOTA,Lotus,MALE,0,48.6,GENERAL,Post Graduate,440429409.0,9647749.0,20503.0,53.0,20556.0,1.312225542,1.557703456,1566499.0,1.0,430781660.0,N300,0.004081632653061225
Andhra Pradesh,CHITTOOR,C. PUNYAMURTHY,0.0,BSP,Elephant,MALE,4,45.0,SC,Others,303238003.0,216356862.0,19952.0,110.0,20062.0,1.280690253,1.520268862,1566499.0,1.0,86881141.0,C155,1.0
Rajasthan,CHITTORGARH,Chandra Prakash Joshi,1.0,BJP,Lotus,MALE,0,43.0,GENERAL,Graduate,197251151.0,1000001.0,979946.0,2996.0,982942.0,48.75919621,67.35865839,2015911.0,1.0,196251150.0,C536,0.0625
Rajasthan,CHITTORGARH,Gopal Singh Shekhawat,0.0,INC,Hand,MALE,0,68.0,GENERAL,Graduate Professional,459491245.0,0.0,405681.0,1014.0,406695.0,20.17425372,27.86983319,2015911.0,1.0,459491245.0,G142,0.3333333333333333
Rajasthan,CHITTORGARH,NOTA,0.0,NOTA,Lotus,MALE,0,43.4,GENERAL,Post Graduate,440429409.0,9647749.0,17513.0,15.0,17528.0,0.869482829,1.201151812,2015911.0,1.0,430781660.0,N300,0.004081632653061225
